Time,total_volume
12/18/2023,23131.3387533584
12/19/2023,21951.2555777543
12/20/2023,28970.4559244474
12/21/2023,20174.575651718
12/22/2023,16226.7848234467
12/23/2023,6861.592020102
12/24/2023,8817.39573814626
12/25/2023,8292.24515400534
12/26/2023,20998.7477707687
12/27/2023,19043.204055344
12/28/2023,19562.3977503926
12/29/2023,24740.2799761392
12/30/2023,15181.0722437693
12/31/2023,15272.911478727
1/1/2024,13247.2401001796
1/2/2024,43504.0097751165
1/3/2024,48320.0443722931
1/4/2024,27682.1380067061
1/5/2024,29027.5909901876
1/6/2024,8791.10916779085
1/7/2024,10301.7840088457
1/8/2024,41123.0912772896
1/9/2024,42395.7408313364
1/10/2024,56217.38214526
1/11/2024,57891.3215385773
1/12/2024,66376.77212801
1/13/2024,15249.879114929
1/14/2024,12187.6577304321
1/15/2024,16179.5743646797
1/16/2024,24720.3045777219
1/17/2024,22150.4377983169
1/18/2024,33679.9870853538
1/19/2024,31269.22831763
1/20/2024,8002.72497994838
1/21/2024,5734.56368136501
1/22/2024,38423.818012671
1/23/2024,32583.0393064442
1/24/2024,25904.8150710134
1/25/2024,20070.2457804864
1/26/2024,29699.0902564044
1/27/2024,6227.57209417334
1/28/2024,8449.76361946888
1/29/2024,19160.4390015476
1/30/2024,23414.5709386706
1/31/2024,23597.8682788269
2/1/2024,17532.4890330543
2/2/2024,18137.0023071464
2/3/2024,4403.84340536528
2/4/2024,5425.41410237574
2/5/2024,15105.7261504451
2/6/2024,13211.4483132553
2/7/2024,20905.4588067736
2/8/2024,29672.6621849944
2/9/2024,36368.8017483198
2/10/2024,10109.854956175
2/11/2024,10198.8561101378
2/12/2024,32188.7968016851
2/13/2024,29934.1360509267
2/14/2024,31346.4431499939
2/15/2024,28156.6541784969
2/16/2024,20115.9375932563
2/17/2024,9975.79186100572
2/18/2024,7336.10585436423
2/19/2024,10552.5396473538
2/20/2024,25159.6577681523
2/21/2024,21315.6593858669
2/22/2024,19642.3056678903
2/23/2024,17190.6504635197
2/24/2024,6180.64743838259
2/25/2024,6913.60550886429
2/26/2024,35298.0709649883
2/27/2024,44264.6415851276
2/28/2024,72419.7787372358
2/29/2024,53377.6853441063
3/1/2024,33901.2212285174
3/2/2024,9343.54719557052
3/3/2024,7902.79855602956
3/4/2024,59719.657495419
3/5/2024,96602.7345985088
3/6/2024,50086.6999516794
3/7/2024,32110.5074763658
3/8/2024,48925.9474681719
3/9/2024,13302.2348056202
3/10/2024,19798.2419323888
3/11/2024,52034.8013728056
3/12/2024,47083.3894026303
3/13/2024,32962.2734570893
3/14/2024,49264.7441631549
3/15/2024,59971.5928867324
3/16/2024,25705.1314590844
3/17/2024,21859.6126905321
3/18/2024,29752.0685979414
3/19/2024,62686.2736585979
3/20/2024,55690.5405439493
3/21/2024,29153.9249364642
3/22/2024,27732.1909658872
3/23/2024,11798.399109033
3/24/2024,11960.2613630965
3/25/2024,35571.1558136623
3/26/2024,23833.1218739984
3/27/2024,29961.3943863618
3/28/2024,22089.2818034703
3/29/2024,11726.7932335834
3/30/2024,5108.36915364556
3/31/2024,7844.87447744871
4/1/2024,21421.8466071782
4/2/2024,36272.2781015432
4/3/2024,20686.7888144826
4/4/2024,26806.2715631329
4/5/2024,22300.1350089618
4/6/2024,6614.21548204629
4/7/2024,9169.21213669106
4/8/2024,26017.8023203473
4/9/2024,24397.1104015301
4/10/2024,25516.0779437587
4/11/2024,17225.6520501085
4/12/2024,35241.1276405252
4/13/2024,42791.6765890927
4/14/2024,30840.6770466602
4/15/2024,31392.4073865491
4/16/2024,26843.3785940031
4/17/2024,32750.3973312254
4/18/2024,23590.5330639652
4/19/2024,34905.5685511788
4/20/2024,9127.61511490298
4/21/2024,7298.18601103523
4/22/2024,17282.5049413625
4/23/2024,12948.7128935751
4/24/2024,21401.8127525834
4/25/2024,19100.5966039874
4/26/2024,14386.8855525984
4/27/2024,8595.76643989232
4/28/2024,6724.08062216443
4/29/2024,15789.2411819493
4/30/2024,31053.7410714387
5/1/2024,41540.9352487918
5/2/2024,21296.2205682733
5/3/2024,25708.6311949362
5/4/2024,10408.1869995682
5/5/2024,7510.06866452037
5/6/2024,16922.050809807
5/7/2024,13489.0482497168
5/8/2024,12216.2257867365
5/9/2024,12932.2212080641
5/10/2024,18397.0410317369
5/11/2024,4380.14259376121
5/12/2024,4566.84446299697
5/13/2024,14077.3202034329
5/14/2024,18515.5652455543
5/15/2024,31005.0364083711
5/16/2024,17648.7486248448
5/17/2024,16872.9132481944
5/18/2024,5563.93712597774
5/19/2024,5547.08408959807
5/20/2024,29118.6475969212
5/21/2024,23276.2262047859
5/22/2024,15564.823729417
5/23/2024,21325.9679334827
5/24/2024,14073.2103840066
5/25/2024,4199.28029410889
5/26/2024,3819.22673665542
5/27/2024,9429.93836900917
5/28/2024,17388.0936148443
5/29/2024,13073.1048018765
5/30/2024,16610.6221246319
5/31/2024,15328.2314743766
6/1/2024,3226.31215119623
6/2/2024,4559.20471655516
6/3/2024,18158.1753864642
6/4/2024,24256.5023562801
6/5/2024,15939.3993730578
6/6/2024,12540.7987079398
6/7/2024,22023.5335530256
6/8/2024,3994.96122580672
6/9/2024,3601.5109124394
6/10/2024,9244.9476017063
6/11/2024,25129.4990405964
6/12/2024,23586.0087254794
6/13/2024,16936.3394540397
6/14/2024,17693.7695146598
6/15/2024,3606.48976043
6/16/2024,3940.05770712
6/17/2024,20014.9890516698
6/18/2024,23161.7926127197
6/19/2024,8010.73316621002
6/20/2024,15204.7050979099
6/21/2024,15136.9170884397
6/22/2024,3705.32176443001
6/23/2024,4026.23104281001
6/24/2024,34055.1590486998
6/25/2024,23412.8605079497
6/26/2024,15694.7466390601
6/27/2024,15359.4007659899
6/28/2024,16296.46241512
6/29/2024,5324.48864022998
6/30/2024,7119.11309672997
7/1/2024,17906.8076614698
7/2/2024,14480.9274850498
7/3/2024,18212.6508556698
7/4/2024,27227.5991850796
